信地华地城 | 14497元/m2 | 90天成交12套|107套正在出租
卫星社区 | 6762元/m2 | 90天成交0套|0套正在出租
繁华新园 | 8696元/m2 | 90天成交0套|4套正在出租
金桂苑小区 | 10974元/m2 | 90天成交1套|0套正在出租
中街水晶城 | 14015元/m2 | 90天成交2套|0套正在出租
开拓环球世家 | 13273元/m2 | 90天成交1套|0套正在出租
金星和园北区 | 6653元/m2 | 90天成交0套|0套正在出租
上河城 | 暂无 | 90天成交0套|0套正在出租
太平洋森活广场 | 12132元/m2 | 90天成交0套|4套正在出租
前城上品 | 13277元/m2 | 90天成交0套|2套正在出租
和安家园 | 16625元/m2 | 90天成交0套|2套正在出租
新华书店宿舍 | 12200元/m2 | 90天成交0套|0套正在出租
新城家园(肥西县) | 10581元/m2 | 90天成交0套|1套正在出租
美好紫蓬山壹号 | 暂无 | 90天成交0套|0套正在出租
包公路163号 | 8234元/m2 | 90天成交0套|0套正在出租
水安盛世桃源 | 15652元/m2 | 90天成交0套|2套正在出租
医药小区 | 暂无 | 90天成交0套|0套正在出租
巴厘·阳光 | 14595元/m2 | 90天成交0套|2套正在出租
舒雅文沁苑 | 10453元/m2 | 90天成交0套|0套正在出租
华商广场 | 28065元/m2 | 90天成交0套|2套正在出租
文一西溪湾 | 13744元/m2 | 90天成交0套|2套正在出租
书苑雅居 | 5497元/m2 | 90天成交0套|0套正在出租
融创玖樟台 | 18484元/m2 | 90天成交0套|6套正在出租
春景花园 | 12514元/m2 | 90天成交1套|1套正在出租
肥西县政府大院 | 12552元/m2 | 90天成交0套|1套正在出租
顺和家园北区 | 7023元/m2 | 90天成交0套|1套正在出租
名邦中央公馆 | 15813元/m2 | 90天成交0套|0套正在出租
星河家园西区 | 11086元/m2 | 90天成交0套|0套正在出租
万派城 | 14421元/m2 | 90天成交0套|0套正在出租
金辉中梁优步学府 | 暂无 | 90天成交0套|0套正在出租
高速时代御府 | 暂无 | 90天成交0套|0套正在出租
灯塔小区 | 暂无 | 90天成交0套|0套正在出租
卫星社区 | 6762元/m2 | 90天成交0套|0套正在出租
四十埠家园 | 8102元/m2 | 90天成交0套|1套正在出租
金星和园南区 | 7712元/m2 | 90天成交0套|0套正在出租
柏堰雅苑 | 8431元/m2 | 90天成交0套|2套正在出租
西城时代花园 | 暂无 | 90天成交0套|0套正在出租
金星和园北区 | 6653元/m2 | 90天成交0套|0套正在出租
包公路163号 | 8234元/m2 | 90天成交0套|0套正在出租
医药小区 | 暂无 | 90天成交0套|0套正在出租
新华书店宿舍 | 12200元/m2 | 90天成交0套|0套正在出租
舒雅文沁苑 | 10453元/m2 | 90天成交0套|0套正在出租
美好紫蓬山壹号 | 暂无 | 90天成交0套|0套正在出租
华商广场 | 28065元/m2 | 90天成交0套|2套正在出租
上河城 | 暂无 | 90天成交0套|0套正在出租
幸福楼 | 7650元/m2 | 90天成交0套|0套正在出租
张郢小区 | 8061元/m2 | 90天成交0套|0套正在出租
朝南新村 | 10894元/m2 | 90天成交0套|0套正在出租
方郢商住楼 | 9839元/m2 | 90天成交1套|0套正在出租
宾馆小区 | 12740元/m2 | 90天成交0套|0套正在出租
农机厂宿舍楼 | 10429元/m2 | 90天成交0套|0套正在出租
政园小区 | 10971元/m2 | 90天成交0套|0套正在出租
玫瑰苑(肥西) | 9729元/m2 | 90天成交0套|0套正在出租
新鑫公寓 | 11339元/m2 | 90天成交0套|0套正在出租
沿河花园小区 | 11351元/m2 | 90天成交0套|0套正在出租
警安花园 | 12522元/m2 | 90天成交0套|0套正在出租
大众时代广场小区 | 9961元/m2 | 90天成交0套|0套正在出租
同心巷 | 10946元/m2 | 90天成交0套|0套正在出租
宝地家园 | 11823元/m2 | 90天成交0套|0套正在出租
文苑巷 | 10440元/m2 | 90天成交0套|0套正在出租
钱江1号公馆 | 14411元/m2 | 90天成交0套|1套正在出租
农贸大市场 | 8971元/m2 | 90天成交0套|1套正在出租
桃花社区桃花新村小区 | 12471元/m2 | 90天成交0套|0套正在出租
水岸豪庭 | 13282元/m2 | 90天成交0套|0套正在出租
华斌楼 | 暂无 | 90天成交0套|0套正在出租
预制厂小区 | 11463元/m2 | 90天成交1套|0套正在出租
禹洲天玺二期 | 15785元/m2 | 90天成交0套|0套正在出租
凉亭小区 | 暂无 | 90天成交0套|0套正在出租
新华路安置楼 | 暂无 | 90天成交0套|0套正在出租
凉亭雅苑 | 8048元/m2 | 90天成交0套|1套正在出租
九九商住楼 | 9940元/m2 | 90天成交0套|0套正在出租
城东小区 | 12116元/m2 | 90天成交0套|1套正在出租
幸福园 | 暂无 | 90天成交0套|0套正在出租
宝地家园 | 11823元/m2 | 90天成交0套|0套正在出租
圆通商厦 | 10182元/m2 | 90天成交0套|0套正在出租
上派镇包公路小区 | 9323元/m2 | 90天成交0套|0套正在出租
盛世珑门 | 13590元/m2 | 90天成交0套|0套正在出租
聚缘山庄 | 11001元/m2 | 90天成交0套|0套正在出租
顺和家园南区 | 7843元/m2 | 90天成交0套|6套正在出租
镇政府大院 | 暂无 | 90天成交0套|0套正在出租
新城花园 | 11067元/m2 | 90天成交0套|0套正在出租
省水安公司 | 13583元/m2 | 90天成交0套|0套正在出租
众鑫楼 | 9833元/m2 | 90天成交0套|0套正在出租
安居苑小区 | 11000元/m2 | 90天成交0套|0套正在出租
桦樟名苑 | 10719元/m2 | 90天成交0套|0套正在出租
翡翠三期 | 暂无 | 90天成交0套|1套正在出租
丰辉国际广场 | 暂无 | 90天成交0套|0套正在出租
包公家园 | 11503元/m2 | 90天成交0套|0套正在出租
鑫林雅居小区 | 10657元/m2 | 90天成交0套|0套正在出租
名流高尔夫庄园 | 13695元/m2 | 90天成交0套|0套正在出租
华南城紫荆名都三期 | 11069元/m2 | 90天成交0套|0套正在出租
顺和家园南区 | 7843元/m2 | 90天成交0套|6套正在出租
维C派 | 暂无 | 90天成交0套|0套正在出租
观澜天下 | 19765元/m2 | 90天成交0套|0套正在出租
云海家园 | 11591元/m2 | 90天成交0套|0套正在出租
安居苑小区 | 11000元/m2 | 90天成交0套|0套正在出租
万振紫蓬湾 | 14894元/m2 | 90天成交0套|0套正在出租
翡翠三期 | 暂无 | 90天成交0套|1套正在出租
顺美家园 | 8806元/m2 | 90天成交0套|1套正在出租
省水安公司 | 13583元/m2 | 90天成交0套|0套正在出租
张郢小区（二区） | 7160元/m2 | 90天成交0套|0套正在出租
龙飞明珠花园南区 | 10552元/m2 | 90天成交0套|0套正在出租
镇政府大院 | 暂无 | 90天成交0套|0套正在出租
钱江1号公馆 | 14411元/m2 | 90天成交0套|1套正在出租
丽景湾 | 12337元/m2 | 90天成交0套|0套正在出租
聚鑫公寓 | 暂无 | 90天成交0套|0套正在出租
滨河家园 | 9106元/m2 | 90天成交0套|2套正在出租
好运雅苑小区 | 10041元/m2 | 90天成交0套|0套正在出租
阳光公寓 | 10197元/m2 | 90天成交1套|0套正在出租
鑫鑫花园 | 10642元/m2 | 90天成交0套|0套正在出租
南郢社区 | 7238元/m2 | 90天成交0套|0套正在出租
旺郢家园 | 9445元/m2 | 90天成交0套|0套正在出租
朝南新村 | 10894元/m2 | 90天成交0套|0套正在出租
商会楼 | 10197元/m2 | 90天成交0套|0套正在出租
九九商住楼 | 9940元/m2 | 90天成交0套|0套正在出租
丽丰铂羽公馆 | 14881元/m2 | 90天成交0套|1套正在出租
新华九龙首府 | 暂无 | 90天成交0套|0套正在出租
泰来尚品 | 12553元/m2 | 90天成交0套|0套正在出租
滨水苑 | 暂无 | 90天成交0套|0套正在出租
新华街3号楼 | 暂无 | 90天成交0套|0套正在出租
西南欢乐城 | 暂无 | 90天成交0套|0套正在出租
巢湖西路新汽车站综合楼 | 9892元/m2 | 90天成交0套|0套正在出租
滨河雅苑 | 15801元/m2 | 90天成交0套|0套正在出租
滨河小区 | 7606元/m2 | 90天成交0套|0套正在出租
翡翠家园 | 9389元/m2 | 90天成交0套|0套正在出租
科创和谐盛世 | 14296元/m2 | 90天成交1套|0套正在出租
华悦公馆 | 13336元/m2 | 90天成交0套|0套正在出租
肥西中学西区宿舍楼 | 11356元/m2 | 90天成交0套|0套正在出租
庐南星河家园东区 | 10862元/m2 | 90天成交0套|0套正在出租
肥西县烟草局院家属楼 | 11968元/m2 | 90天成交0套|0套正在出租
公园新村 | 11163元/m2 | 90天成交0套|1套正在出租
金水苑 | 10621元/m2 | 90天成交0套|0套正在出租
